edgeID,startNode,endNode
CHALL004L1_CREST004L1,CHALL004L1,CREST004L1
DHALL00902_DHALL01002,DHALL00902,DHALL01002
FHALL02401_FHALL02501,FHALL02401,FHALL02501
EHALL02801_EHALL03001,EHALL02801,EHALL03001
GHALL00502_GHALL00302,GHALL00502,GHALL00302
GELEV00QL2_GHALL007L2,GELEV00QL2,GHALL007L2
EDEPT00301_EHALL02101,EDEPT00301,EHALL02101
GHALL01502_GHALL01302,GHALL01502,GHALL01302
bCONF00201_GHALL02801,bCONF00201,GHALL02801
BHALL01202_BHALL01302,BHALL01202,BHALL01302
DHALL00602_DHALL00702,DHALL00602,DHALL00702
WELEV00HL1_CHALL004L1,WELEV00HL1,CHALL004L1
DHALL02202_DHALL02302,DHALL02202,DHALL02302
CHALL014L1_WELEV00LL1,CHALL014L1,WELEV00LL1
EEXIT00201_bCONF00501,EEXIT00201,bCONF00501
WELEV00H01_WELEV00H02,WELEV00H01,WELEV00H02
DHALL03202_DSTAI00502,DHALL03202,DSTAI00502
WELEV00H01_WELEV00H03,WELEV00H01,WELEV00H03
BINFO00102_BHALL04402,BINFO00102,BHALL04402
FHALL01101_FHALL00901,FHALL01101,FHALL00901
CHALL006L2_CHALL007L2,CHALL006L2,CHALL007L2
AHALL002L2_AHALL003L2,AHALL002L2,AHALL003L2
AHALL00801_AHALL00301,AHALL00801,AHALL00301
FHALL02201_bCONF00601,FHALL02201,bCONF00601
BHALL00302_BHALL03402,BHALL00302,BHALL03402
GELEV00N02_GDEPT02402,GELEV00N02,GDEPT02402
IHALL00403_IHALL00503,IHALL00403,IHALL00503
GEXIT00101_GHALL02101,GEXIT00101,GHALL02101
GHALL01003_GHALL01303,GHALL01003,GHALL01303
HHALL00503_HHALL00403,HHALL00503,HHALL00403
GHALL02102_GINFO01902,GHALL02102,GINFO01902
IHALL01203_WELEV00K03,IHALL01203,WELEV00K03
EHALL02501_EHALL02601,EHALL02501,EHALL02601
bPARK01601_bPARK02301,bPARK01601,bPARK02301
EHALL03601_bWALK01101,EHALL03601,bWALK01101
WELEV00JL2_WELEV00J03,WELEV00JL2,WELEV00J03
BHALL03002_BREST00502,BHALL03002,BREST00502
CHALL005L2_WELEV00ML2,CHALL005L2,WELEV00ML2
GDEPT00702_GHALL00502,GDEPT00702,GHALL00502
DHALL02702_DHALL02802,DHALL02702,DHALL02802
DHALL04302_DHALL04402,DHALL04302,DHALL04402
WELEV00JL2_WELEV00J02,WELEV00JL2,WELEV00J02
AELEV00SL2_AELEV00S03,AELEV00SL2,AELEV00S03
DHALL01602_DHALL01802,DHALL01602,DHALL01802
CHALL010L2_CHALL004L2,CHALL010L2,CHALL004L2
AELEV00SL2_AELEV00S02,AELEV00SL2,AELEV00S02
bPARK00101_bPARK00701,bPARK00101,bPARK00701
DHALL01202_DHALL01302,DHALL01202,DHALL01302
CRETL001L1_CHALL012L1,CRETL001L1,CHALL012L1
WELEV00ML1_WELEV00M02,WELEV00ML1,WELEV00M02
WELEV00ML1_WELEV00M03,WELEV00ML1,WELEV00M03
